Name,Country,Language,Software,Link,Format
Woodbrooke,GB,English,Zoom and Adobe Connect,https://www.woodbrooke.org.uk/about/online-mfw/,Unprogrammed
Australia Yearly Meeting,AU,English,Zoom,https://www.quakersaustralia.info/online-meeting-worship,Unprogrammed
The Online Meeting for Worship,global,English,Whereby (video chat) and another text chat,http://quakerworship.org/default.asp,Unprogrammed
Ben Lomond Quaker Center,US,English,Chatzy,http://www.quakercenter.org/meeting-for-worship/,Unprogrammed
Pendle Hill,US,English,Zoom,https://pendlehill.org/explore/worship/join-us-online-for-worship-in-the-barn/,Unprogrammed
